mechanism,benchmark,n_procs,msg_size_bytes,placement,iterations,avg_ns,p50_ns,p99_ns,min_ns,max_ns,throughput_msg_s,throughput_MB_s
mq_posix,pingpong,2,8,same_core,50000,3282.8,3201.0,4563.0,3130.0,80025.0,151576,2.313
mq_posix,pingpong,2,64,same_core,50000,3291.8,3196.0,4613.0,3136.0,308859.0,150953,18.427
mq_posix,pingpong,2,256,same_core,50000,3564.3,3491.0,5039.0,3196.0,75907.0,139588,68.158
mq_posix,pingpong,2,1024,same_core,50000,3401.1,3301.0,4839.0,3246.0,43727.0,146221,285.589
mq_posix,pingpong,2,4096,same_core,50000,4278.1,4167.0,6041.0,4112.0,76729.0,115974,906.047
mq_posix,pingpong,2,8192,same_core,50000,5019.3,4909.0,7053.0,4854.0,77671.0,98654,1541.469
mq_posix,pingpong,2,8,diff_core,50000,4065.5,3837.0,5740.0,3757.0,512571.0,122377,1.867
mq_posix,pingpong,2,64,diff_core,50000,4068.9,3857.0,5766.0,3782.0,486602.0,122258,14.924
mq_posix,pingpong,2,256,diff_core,50000,4051.6,3912.0,5515.0,3817.0,306274.0,122807,59.964
mq_posix,pingpong,2,1024,diff_core,50000,4745.7,4583.0,6607.0,4293.0,311043.0,104513,204.127
mq_posix,pingpong,2,4096,diff_core,50000,5472.9,5305.0,7519.0,5165.0,225092.0,90566,707.545
mq_posix,pingpong,2,8192,diff_core,50000,6669.9,6301.0,9132.0,5946.0,1268559.0,74237,1159.961
mq_posix,throughput,2,8,diff_core_q1,200000,2738.6,0.0,0.0,0.0,0.0,365146,2.786
mq_posix,throughput,2,64,diff_core_q1,200000,2711.3,0.0,0.0,0.0,0.0,368821,22.511
mq_posix,throughput,2,256,diff_core_q1,200000,2980.2,0.0,0.0,0.0,0.0,335550,81.921
mq_posix,throughput,2,1024,diff_core_q1,200000,2984.3,0.0,0.0,0.0,0.0,335091,327.238
mq_posix,throughput,2,4096,diff_core_q1,200000,3221.9,0.0,0.0,0.0,0.0,310377,1212.410
mq_posix,throughput,2,8192,diff_core_q1,200000,3681.1,0.0,0.0,0.0,0.0,271657,2122.322
mq_posix,throughput,2,8,diff_core_q64,200000,606.8,0.0,0.0,0.0,0.0,1647948,12.573
mq_posix,throughput,2,64,diff_core_q64,200000,619.2,0.0,0.0,0.0,0.0,1615078,98.577
mq_posix,throughput,2,256,diff_core_q64,200000,676.3,0.0,0.0,0.0,0.0,1478643,360.997
mq_posix,throughput,2,1024,diff_core_q64,200000,921.9,0.0,0.0,0.0,0.0,1084751,1059.327
mq_posix,throughput,2,4096,diff_core_q64,200000,1415.0,0.0,0.0,0.0,0.0,706702,2760.553
mq_posix,throughput,2,8192,diff_core_q64,200000,2236.3,0.0,0.0,0.0,0.0,447164,3493.466
mq_posix,throughput,2,8,diff_core_q512,200000,598.8,0.0,0.0,0.0,0.0,1669882,12.740
mq_posix,throughput,2,64,diff_core_q512,200000,612.5,0.0,0.0,0.0,0.0,1632582,99.645
mq_posix,throughput,2,256,diff_core_q512,200000,710.3,0.0,0.0,0.0,0.0,1407925,343.732
mq_posix,throughput,2,1024,diff_core_q512,200000,927.0,0.0,0.0,0.0,0.0,1078712,1053.430
mq_posix,fanin_n1,2,64,fanin,10000,697.6,0.0,0.0,0.0,0.0,1433436,87.490
mq_posix,fanin_n1,2,256,fanin,10000,716.1,0.0,0.0,0.0,0.0,1396447,340.930
mq_posix,fanin_n2,3,64,fanin,20000,813.5,0.0,0.0,0.0,0.0,1229188,75.024
mq_posix,fanin_n2,3,256,fanin,20000,845.9,0.0,0.0,0.0,0.0,1182167,288.615
mq_posix,fanin_n4,5,64,fanin,40000,1522.7,0.0,0.0,0.0,0.0,656720,40.083
mq_posix,fanin_n4,5,256,fanin,40000,1492.0,0.0,0.0,0.0,0.0,670238,163.632
mq_posix,fanin_n8,9,64,fanin,80000,1286.3,0.0,0.0,0.0,0.0,777405,47.449
mq_posix,fanin_n8,9,256,fanin,80000,1323.3,0.0,0.0,0.0,0.0,755710,184.500
mq_posix,fanin_n16,17,64,fanin,160000,1770.8,0.0,0.0,0.0,0.0,564710,34.467
mq_posix,fanin_n16,17,256,fanin,160000,1850.0,0.0,0.0,0.0,0.0,540529,131.965
mq_posix,pairs_n1,2,64,pairs,10000,4172.5,3912.0,6492.0,3802.0,82074.0,0,0.000
mq_posix,pairs_n1,2,256,pairs,10000,4327.9,4032.0,6717.0,3842.0,607769.0,0,0.000
mq_posix,pairs_n1,2,1024,pairs,10000,4676.5,4538.0,7023.0,3947.0,159253.0,0,0.000
mq_posix,pairs_n2,4,64,pairs,20000,4766.2,5209.0,7214.0,3802.0,80365.0,0,0.000
mq_posix,pairs_n2,4,256,pairs,20000,5333.4,5400.0,8326.0,3867.0,1392471.0,0,0.000
mq_posix,pairs_n2,4,1024,pairs,20000,5840.6,6086.0,8917.0,4082.0,997761.0,0,0.000
mq_posix,pairs_n4,8,64,pairs,40000,5122.7,4834.0,8260.0,3852.0,631950.0,0,0.000
mq_posix,pairs_n4,8,256,pairs,40000,5474.0,5004.0,8405.0,3922.0,1603477.0,0,0.000
mq_posix,pairs_n4,8,1024,pairs,40000,5794.6,5470.0,8902.0,4283.0,541350.0,0,0.000
mq_posix,pairs_n8,16,64,pairs,80000,7048.7,5310.0,16035.0,3792.0,1604464.0,0,0.000
mq_posix,pairs_n8,16,256,pairs,80000,7465.4,5595.0,16816.0,3847.0,1887434.0,0,0.000
mq_posix,pairs_n8,16,1024,pairs,80000,8025.3,6061.0,18575.0,4073.0,1746956.0,0,0.000
